,lat,lon,diam,radius
4228,5.443502,-69.150279,33.790508,16.895254 Kilometer
4232,2.352918,-65.543717,33.768138,16.884069 Kilometer
4250,28.646801,-71.954875,33.690106,16.845053 Kilometer
4260,34.12247,-55.339601,33.628753,16.8143765 Kilometer
4261,30.285476,-43.039058,33.625582,16.812791 Kilometer
4262,8.620752,-61.624283,33.623143,16.8115715 Kilometer
4299,31.280354,-60.95427,33.392928,16.696464 Kilometer
4301,20.694756,-35.397489,33.386515,16.6932575 Kilometer
4333,21.675251,-61.685661,33.068631,16.5343155 Kilometer
4362,6.041751,-69.752114,32.876007,16.4380035 Kilometer
4405,12.850604,-46.592868,32.642829,16.3214145 Kilometer
4409,31.9433,-63.72822,32.62983,16.314915 Kilometer
4413,0.553702,-59.148559,32.618072,16.309036 Kilometer
4439,34.206925,-28.985661,32.444565,16.2222825 Kilometer
4443,14.270928,-60.454593,32.418272,16.209136 Kilometer
4455,-7.85538,-73.457848,32.365313,16.1826565 Kilometer
4461,34.273832,-45.105202,32.320229,16.1601145 Kilometer
4466,18.622078,-44.854267,32.296423,16.1482115 Kilometer
4516,16.565162,-61.040469,32.017347,16.0086735 Kilometer
4523,36.43879,-70.801279,31.985322,15.992661 Kilometer
4542,-10.458663,-53.686057,31.856367,15.9281835 Kilometer
4544,5.374938,-38.516889,31.833468,15.916734 Kilometer
4545,17.896747,-68.759266,31.833371,15.9166855 Kilometer
4550,10.749664,-60.917663,31.815192,15.907596 Kilometer
4574,-6.381092,-38.240975,31.691839,15.8459195 Kilometer
4580,10.192648,-60.499181,31.669801,15.8349005 Kilometer
4584,28.979028,-31.262257,31.662349,15.8311745 Kilometer
4587,-6.983571,-30.28149,31.640331,15.8201655 Kilometer
4591,13.544636,-34.247007,31.625845,15.8129225 Kilometer
4601,-0.055529,-57.739714,31.584165,15.7920825 Kilometer
4602,33.486702,-38.300192,31.57874,15.78937 Kilometer
4629,-8.155552,-30.005996,31.409956,15.704978 Kilometer
4648,12.687317,-44.539877,31.338123,15.6690615 Kilometer
4650,-4.7238,-53.274787,31.325347,15.6626735 Kilometer
4663,22.550856,-35.208713,31.265151,15.6325755 Kilometer
4665,-11.45025,-71.05854,31.234129,15.6170645 Kilometer
4672,21.761799,-51.623093,31.204571,15.6022855 Kilometer
4756,35.003738,-43.06846,30.841526,15.420763 Kilometer
4764,34.603879,-24.775102,30.776177,15.3880885 Kilometer
4771,17.643156,-65.876401,30.752849,15.3764245 Kilometer
4793,30.94799,-46.379499,30.681614,15.340807 Kilometer
4795,3.787531,-67.413139,30.677736,15.338868 Kilometer
4812,11.692964,-39.845573,30.513793,15.2568965 Kilometer
4816,21.128924,-50.962341,30.493897,15.2469485 Kilometer
4823,36.589075,-44.892847,30.464368,15.232184 Kilometer
4832,10.46371,-66.381262,30.418033,15.2090165 Kilometer
4839,23.142089,-72.471721,30.384171,15.1920855 Kilometer
4843,32.832632,-56.743663,30.354758,15.177379 Kilometer
4849,35.87573,-64.179159,30.301974,15.150987 Kilometer
4854,17.072156,-59.418336,30.27851,15.139255 Kilometer
4927,-6.251183,-63.835824,29.84227,14.921135 Kilometer
4949,7.856533,-43.525986,29.738304,14.869152 Kilometer
4958,24.465781,-44.478656,29.692444,14.846222 Kilometer
4981,7.253893,-65.772799,29.617883,14.8089415 Kilometer
4987,7.42286,-67.525578,29.586017,14.7930085 Kilometer
4998,0.807723,-31.346939,29.533661,14.7668305 Kilometer
5008,7.611987,-41.534933,29.490502,14.745251 Kilometer
5054,30.572516,-33.59692,29.216916,14.608458 Kilometer
5095,20.158561,-73.218001,29.074061,14.5370305 Kilometer
5102,28.093529,-37.267325,29.028896,14.514448 Kilometer
5182,15.52144,-22.726671,28.681114,14.340557 Kilometer
5184,35.371367,-60.864384,28.670406,14.335203 Kilometer
