OBJECTID,Join_Count,TARGET_FID,Field1,lat,lon,diam,radius,BUFF_DIST,ORIG_FID,Group_ID,Central_La,Central_Lo,Geodesic_a,Shape_Length,Shape_Area
145,1,145,1,10.273371,-30.308861,55.257668,27.628834 Kilometer,27628.834,144,8039,10.221,-30.152,3.257,4.110439134,1.344225312
146,1,146,1,9.00699,-25.985661,55.232259,27.6161295 Kilometer,27616.1295,145,8191,9.125,-25.721,10.923,4.100760708,1.337956448
147,0,147,1,11.706917,-60.285662,55.199074,27.599537 Kilometer,27599.537,146,,,,,4.116208717,1.347910142
148,0,148,1,7.807008,-60.38566,55.140485,27.5702425 Kilometer,27570.2425,147,,,,,4.087560697,1.329388423
149,0,149,1,2.972153,-47.45616,55.081194,27.540597 Kilometer,27540.597,148,,,,,4.066869133,1.316005614
150,0,150,1,21.306741,-43.285662,54.754849,27.3774245 Kilometer,27377.4245,149,,,,,4.189572714,1.393992861
151,1,151,1,28.977328,-36.12916,54.528586,27.264293 Kilometer,27264.293,150,8200,28.857,-36.254,3.449,4.316059039,1.472320905
152,0,152,1,-10.09267,-26.785662,53.721992,26.860996 Kilometer,26860.996,151,,,,,3.995050342,1.269817043
153,0,153,1,35.329766,-67.106062,53.703826,26.851913 Kilometer,26851.913,152,,,,,4.421107882,1.531348204
154,1,154,1,-8.036414,-57.489161,53.423842,26.711921 Kilometer,26711.921,153,1072,-8.075,-57.583,7.802,3.961410798,1.248590969
155,0,155,1,-5.792772,-63.185659,52.893689,26.4468445 Kilometer,26446.8445,154,,,,,3.912740838,1.218129761
156,0,156,1,2.212092,-69.716963,52.679861,26.3399305 Kilometer,26339.9305,155,,,,,3.888390488,1.2030269
157,0,157,1,-11.364095,-24.869761,52.477785,26.2388925 Kilometer,26238.8925,156,,,,,3.910840217,1.216777528
158,0,158,1,25.706733,-46.185659,52.437999,26.2189995 Kilometer,26218.9995,157,,,,,4.084371156,1.321956837
